bp	count	normalized	reference
70	97785	0.007067567127071004	0.001799367126501953
42	158157	0.0114310498963662	0.0017611524709314483
72	98108	0.007090912468197394	0.0018425553529196014
64	112331	0.008118902520335564	0.002007235889262192
39	144683	0.010457195016066003	0.0015441531079519995
38	141955	0.010260024456955202	0.0015043343835954297
105	71590	0.005174281644700242	0.0019634696663934303
80	85843	0.006204439994775848	0.0016842059072789204
56	132510	0.009577371989652594	0.0024094791128698536
154	78028	0.0056395983820739	0.01269346210295398
162	85795	0.00620097071807595	0.017179656594902754
175	58162	0.004203751487904114	0.013271639070763275
97	73600	0.005319557606508421	0.0016948543913534284
108	67308	0.0048647932524302825	0.0018447582854866174
145	88737	0.006413608469140459	0.011145053060203561
176	54132	0.003912476798308612	0.012875517549924565
142	80233	0.005798968280475409	0.008729761681339399
191	16159	0.0011679175457006735	0.004089348903350089
85	86627	0.006261104847540828	0.0017955778480865422
122	59700	0.00431491289549664	0.002517518712614738
69	97373	0.007037789168730223	0.0018190244370626467
44	139055	0.010050422323003105	0.0016639347256110228
187	22611	0.0016342461554451346	0.005458727404394848
43	149025	0.010771020004210834	0.0017083165347099888
86	81760	0.0059093346454908765	0.0015992520060454866
179	43039	0.0031107124976428794	0.010131794980895238
152	76348	0.005518173697577513	0.01178984969315344
45	136781	0.009886065339345494	0.001679941682719333
94	83840	0.0060596699691530705	0.0020472960171810596
81	86577	0.006257491017645103	0.0017343300911099307
41	158852	0.011481282131916789	0.001710407984281983
55	137937	0.009969617086534675	0.0024387070956262604
155	83577	0.006040661223901553	0.013202998133166796
137	76008	0.005493599654286577	0.007149275407748265
73	99115	0.007163695002297312	0.0018783176684534577
111	63327	0.004577060116132592	0.0019237905816344714
151	76129	0.005502345122634233	0.011337223302141717
133	63785	0.00461016279797744	0.00450815778538342
92	77704	0.005616180764349597	0.001747204233131209
354	635	4.5895639675718035e-05	0.00046120500747865736
36	142371	0.01029009152168764	0.0014743897652787156
146	86780	0.00627216316702175	0.011057616661354056
321	1048	7.574587461441338e-05	0.0006171578545802009
58	124764	0.009017517462206748	0.0023771527604133386
118	57737	0.004173033933790444	0.0019090396662700744
100	70842	0.005120218749460184	0.001761781349364905
74	96753	0.0069929776780232236	0.0018156465023134835
46	140462	0.01015211549626883	0.0017383063179323784
167	92626	0.006694692158430013	0.02063224993363621
65	107049	0.007737137530151086	0.0019105544057332054
53	158272	0.011439361705126369	0.002561330529169925
60	123745	0.008943867608931856	0.002319703143320973
164	90195	0.006518987748899824	0.019233741926480648
169	85997	0.006215570590854683	0.018824648072828888
166	95072	0.006871480716928921	0.020663323388740978
93	82412	0.005956458987331141	0.0019098364838306477
102	73450	0.005308716116821243	0.0019067266799772035
87	76995	0.005564936656428205	0.001497306381247716
57	127682	0.009228420574921308	0.0023914433081790617
131	57899	0.004184742742652596	0.0034299560019596773
82	89725	0.006485017747880001	0.0018517002458304805
37	140687	0.010168377730799595	0.001485015523973469
66	102109	0.007380091136453375	0.001858725961347527
62	119668	0.008649195919234371	0.002198585444844687
40	153581	0.011100312184309373	0.001625724786628769
130	58591	0.004234758148409442	0.003062901099388426
174	59650	0.004311299065600915	0.013617094000122117
48	148468	0.010730761939172448	0.00196674312156649
182	31684	0.0022900117283235436	0.007487625011297462
150	77267	0.005584595891060953	0.01101011704449431
75	91129	0.006586494091351982	0.0017111594940099637
172	65539	0.0047369359507195025	0.014903925346283667
71	96376	0.0069657294006094505	0.0018019049368347849
114	64786	0.004682511672489871	0.002157347313278422
77	85856	0.006205379590548736	0.0015993822124665956
165	92636	0.006695414924409159	0.02015660216122555
138	73379	0.005303584478369313	0.006921896406224611
140	70551	0.00509918625946706	0.006874006313028456
139	68332	0.004938804488694748	0.006637384513655986
52	160866	0.011626847200116626	0.0024951053423194194
158	79782	0.0057663715348159625	0.014170916507180463
127	65513	0.004735056759173725	0.003552271427997865
47	143001	0.010335625778373787	0.0018419469130352317
88	75264	0.0054398258654381765	0.0014724512475075848
50	157795	0.011404885767921145	0.0022367662267359354
116	61948	0.004477390687608474	0.0020405129915685607
157	80818	0.005841250090255401	0.01388974638885108
147	82963	0.005996283392782039	0.010893154660267091
124	67875	0.004905774083447814	0.0034322378301847086
132	62468	0.004514974518524022	0.003938230416278828
59	123974	0.00896041894985428	0.0023517913795342744
51	160374	0.011591287113942684	0.002364366804299661
159	80769	0.00583770853695759	0.014676742154635884
104	72266	0.005223140624890456	0.0019788517470219515
54	147226	0.010640994404562619	0.002504028126801755
35	144247	0.010425682419375274	0.0014776522150791896
344	757	5.471338462128906e-05	0.0005168213010105796
128	59535	0.004302987256840745	0.003043953278042205
61	121349	0.008770692880328673	0.0022587755426377574
163	85718	0.006195405420036533	0.018180298372347515
